x,orb_pct,game_result,ft_rate,ts_pct,drb_pct,trb_pct,tov_pct,pace,date_game,stl_pct,game_season,pts,fg3a_per_fga_pct,game_location,off_rtg,efg_pct,def_rtg,blk_pct,team_id,ast_pct,fta_per_fga_pct
,29.2,L,.118,.529,83.0,55.8,11.7,94.0,2024-03-05,6.4,61,104,.409,@,110.6,.500,111.7,18.8,BOS,61.5,.129
,26.0,L,.176,.534,81.0,51.1,10.5,98.4,2024-03-07,6.1,62,109,.418,@,110.8,.511,116.9,4.3,BOS,58.5,.275
,29.5,W,.106,.587,75.0,51.2,10.7,96.5,2024-03-09,7.3,63,117,.415,@,121.3,.569,110.9,7.1,BOS,63.0,.138
,32.6,W,.080,.575,77.5,54.2,2.8,90.4,2024-03-11,7.7,64,121,.400,@,133.8,.565,109.5,16.9,BOS,69.4,.120
,32.6,W,.185,.613,78.0,54.8,8.2,90.7,2024-03-12,5.5,65,123,.533,@,135.6,.576,118.0,14.8,BOS,58.1,.207
,15.8,W,.090,.677,58.7,39.3,9.6,95.2,2024-03-14,12.6,66,127,.562,,133.5,.669,117.7,7.4,BOS,66.0,.124
,28.6,W,.230,.666,75.6,51.8,13.3,98.1,2024-03-17,9.2,67,130,.575,@,132.5,.632,106.0,10.9,BOS,69.8,.276
,30.0,W,.116,.591,82.6,55.2,9.8,94.3,2024-03-18,8.5,68,119,.516,,126.2,.568,99.7,14.5,BOS,69.8,.137
,25.6,W,.282,.624,74.3,47.4,8.4,93.6,2024-03-20,6.4,69,122,.471,,130.4,.576,127.2,10.2,BOS,62.5,.341
,19.0,W,.213,.639,77.1,45.5,6.5,97.7,2024-03-22,9.2,70,129,.506,@,132.0,.618,104.4,9.6,BOS,66.0,.303
,31.6,W,.174,.663,90.6,58.6,11.4,90.2,2024-03-23,5.5,71,124,.558,@,137.4,.634,125.2,5.2,BOS,63.6,.198
,29.3,L,.137,.571,63.4,46.3,8.0,93.7,2024-03-25,7.5,72,118,.400,@,126.0,.553,128.1,15.7,BOS,44.7,.200
,20.0,L,.191,.591,66.7,44.8,10.4,92.4,2024-03-28,6.9,73,122,.383,@,119.6,.553,120.6,10.0,BOS,62.2,.223
,20.5,W,.134,.596,81.1,55.4,13.0,91.0,2024-03-30,7.7,74,104,.451,@,114.2,.567,101.1,13.7,BOS,69.2,.146
,25.6,W,.146,.614,83.3,56.0,10.3,93.6,2024-04-01,3.2,75,118,.596,@,126.0,.590,111.1,5.6,BOS,65.1,.180
,29.7,W,.196,.673,87.5,59.7,9.9,98.6,2024-04-03,7.1,76,135,.435,,136.9,.636,101.4,17.5,BOS,66.0,.207
,23.5,W,.146,.521,72.2,48.6,7.6,92.2,2024-04-05,6.5,77,101,.494,,109.5,.494,108.4,8.3,BOS,65.8,.202
,13.9,W,.115,.669,61.4,43.0,12.3,98.1,2024-04-07,11.2,78,124,.437,,126.4,.655,109.1,12.5,BOS,69.4,.149
,23.5,L,.000,.489,72.2,43.7,11.4,89.7,2024-04-09,12.3,79,91,.559,@,101.4,.489,115.9,8.9,BOS,73.0,.000
,22.2,L,.151,.586,60.5,40.9,11.4,95.2,2024-04-11,7.4,80,109,.488,,114.5,.558,124.0,19.0,BOS,62.5,.186
,35.6,W,.087,.597,90.2,61.6,5.2,98.2,2024-04-12,12.2,81,131,.394,,133.4,.587,99.8,2.4,BOS,63.0,.125
,26.3,W,.157,.672,82.6,57.1,14.8,106.3,2024-04-14,9.4,82,132,.360,,124.1,.663,114.7,23.1,BOS,56.9,.236
,31.0,L,.238,.592,80.4,56.8,15.9,98.0,2023-10-25,6.1,1,113,.321,,115.3,.554,116.3,11.8,BRK,71.4,.310
,23.8,L,.098,.622,82.2,54.0,14.2,101.1,2023-10-27,4.9,2,120,.467,@,118.6,.603,123.6,7.3,BRK,66.7,.109
,24.4,W,.264,.658,81.8,54.1,12.2,104.2,2023-10-30,3.8,3,133,.379,@,127.7,.632,116.2,12.3,BRK,51.0,.368
,16.7,W,.232,.583,78.4,50.5,16.2,103.3,2023-11-01,10.6,4,109,.439,@,105.5,.549,101.7,7.5,BRK,73.0,.317
,19.5,W,.031,.555,77.5,48.1,10.1,95.8,2023-11-03,4.2,5,109,.469,@,113.7,.552,111.7,6.6,BRK,72.7,.052
,20.0,L,.110,.530,76.2,45.7,5.3,100.2,2023-11-04,4.0,6,114,.520,,113.8,.515,123.7,11.1,BRK,51.2,.170
,23.4,L,.109,.586,74.5,48.9,7.0,101.6,2023-11-06,2.0,7,125,.446,,123.1,.564,127.0,8.3,BRK,44.9,.129
,25.9,W,.120,.512,76.1,49.0,12.5,97.0,2023-11-08,10.3,8,100,.446,,103.1,.484,95.8,18.2,BRK,59.5,.141
,20.5,L,.188,.576,68.5,46.9,11.4,94.6,2023-11-10,0.0,9,107,.435,@,113.1,.535,127.9,7.1,BRK,68.4,.212
,36.4,W,.163,.478,86.8,61.1,15.1,101.7,2023-11-12,5.9,10,102,.500,,100.2,.439,92.4,12.8,BRK,59.5,.204
,31.7,W,.153,.661,77.5,54.3,14.6,95.5,2023-11-14,13.6,11,124,.459,,129.8,.653,108.8,8.3,BRK,47.8,.235
,28.6,L,.247,.594,81.1,55.6,13.4,94.4,2023-11-16,5.3,12,115,.424,@,121.9,.553,129.3,6.5,BRK,72.5,.318
,20.9,L,.148,.562,78.3,50.6,14.6,93.7,2023-11-19,2.1,13,99,.346,,105.7,.537,129.2,13.6,BRK,63.2,.198
,37.9,L,.177,.587,62.7,50.4,11.5,104.5,2023-11-22,6.9,14,145,.310,@,125.7,.553,127.4,9.0,BRK,50.9,.212
,20.5,W,.256,.635,72.3,48.8,12.9,93.7,2023-11-25,11.7,15,112,.462,,119.6,.590,103.6,17.0,BRK,69.2,.295
,21.1,W,.133,.658,75.6,49.4,10.9,91.1,2023-11-26,7.7,16,118,.639,,129.6,.645,119.7,3.9,BRK,70.7,.181
,29.5,W,.247,.572,75.4,56.2,13.0,99.1,2023-11-28,7.1,17,115,.427,,116.0,.522,103.9,12.3,BRK,65.0,.292
,44.0,L,.095,.573,69.8,55.9,7.5,93.4,2023-11-30,6.4,18,128,.343,,137.0,.562,138.0,7.3,BRK,40.4,.143
,32.6,W,.253,.616,84.3,60.6,9.5,99.8,2023-12-02,4.0,19,129,.374,,129.2,.582,101.2,13.6,BRK,67.4,.341
,24.0,W,.181,.545,75.0,47.9,10.3,101.4,2023-12-06,6.9,20,114,.287,@,112.4,.516,111.4,10.2,BRK,55.8,.255
,38.3,W,.135,.554,75.5,57.3,8.9,100.8,2023-12-08,7.9,21,124,.317,,123.0,.529,96.2,13.8,BRK,54.0,.173
,23.3,L,.227,.607,75.6,48.8,11.8,99.3,2023-12-11,4.0,22,118,.330,@,118.9,.557,132.0,12.2,BRK,57.1,.239
,22.2,W,.213,.583,65.0,42.4,6.6,92.3,2023-12-13,9.8,23,116,.461,@,125.7,.545,121.4,7.1,BRK,58.5,.270
,33.3,L,.158,.487,74.5,52.5,13.4,100.6,2023-12-14,5.0,24,101,.316,@,100.4,.453,123.2,6.3,BRK,71.8,.211
