pts_per_g,ws_per_48,year,mp_per_g,player,trb_per_g,g,vorp,ast,ws,pts,mp,college_name,ast_per_g,trb,fg3_pct,ft_pct,bpm,pick_overall,fg_pct,team_id,seasons
3.0,.065,2021,8.8,Jaden Springer,1.4,69,-0.1,53,0.8,208,609,Tennessee,0.8,97,.226,.808,-2.7,28,.416,PHI,4
6.0,.148,2021,13.2,Day'Ron Sharpe,5.3,141,-0.1,139,5.7,840,1864,UNC,1.0,749,.364,.612,-1.3,29,.565,PHO,3
8.8,.095,2021,21.7,Santi Aldama,4.8,175,0.3,273,7.6,1546,3799,Loyola (MD),1.6,843,.336,.697,-0.4,30,.449,UTA,4
1.6,-.124,2021,7.5,Isaiah Todd,1.3,18,1.5,8,-0.3,29,135,,0.4,24,.192,.500,-10.2,31,.222,MIL,2
5.8,.087,2021,16.8,Jeremiah Robinson-Earl,4.0,136,-0.3,117,4.1,793,2284,Villanova,0.9,539,.347,.783,-1.9,32,.437,NYK,4
2.5,.023,2021,9.3,Jason Preston,1.9,21,0.1,43,0.1,53,195,Ohio University,2.0,39,.238,.000,-2.6,33,.400,ORL,2
,,2021,,Rokas Jokubaitis,,,0.0,,,,,,,,,,,34,,OKC,
10.1,.109,2021,30.0,Herbert Jones,3.8,224,,532,15.2,2255,6720,Alabama,2.4,847,.369,.822,-0.1,35,.482,NOP,4
5.3,.092,2021,14.6,Miles McBride,1.1,176,3.2,237,4.9,927,2561,West Virginia,1.3,200,.362,.761,-1.3,36,.412,OKC,4
3.2,.025,2021,12.2,JT Thor,2.1,165,0.5,84,1.0,528,2012,Auburn,0.5,341,.320,.644,-4.4,37,.418,DET,3
9.8,.074,2021,27.5,Ayo Dosunmu,2.8,238,-1.2,726,10.2,2325,6553,Illinois,3.1,676,.363,.767,-1.8,38,.501,CHI,4
4.3,.205,2021,9.9,Neemias Queta,3.5,52,0.3,28,2.2,225,515,Utah State University,0.5,180,.000,.673,-0.5,39,.596,SAC,4
5.1,.059,2021,11.4,Jared Butler,1.2,91,0.2,204,1.3,465,1033,Baylor,2.2,110,.330,.804,-1.7,40,.455,NOP,4
1.8,.013,2021,6.7,Joe Wieskamp,0.5,38,0.1,12,0.1,70,255,Iowa,0.3,18,.309,.538,-5.3,41,.329,SAS,2
6.2,.037,2021,21.8,Isaiah Livers,2.6,94,-0.2,87,1.6,581,2051,Michigan,0.9,248,.358,.789,-3.2,42,.407,DET,3
